STN---,WBAN,YEARMODA,TEMP,Unnamed: 4,DEWP,Unnamed: 6,SLP,Unnamed: 8,STP,Unnamed: 10,VISIB,Unnamed: 12,WDSP,Unnamed: 14,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
10010,99999,20200208,36.3,23,35.0,23,979.2,23,978.1,23,1.4,5,10.9,23,15.5,18.3,37.4*,35.1,0.42G,999.9,110000
10010,99999,20200209,35.7,24,33.0,24,960.5,24,959.4,24,5.3,6,17.8,24,27.2,34.8,38.7,32.9,0.37G,0.4,10000
10010,99999,20200210,32.5,24,27.7,24,965.2,24,964.1,24,9.3,6,21.0,24,33.8,51.1,36.7,28.6*,0.02G,999.9,0
10010,99999,20200211,25.3,22,20.9,22,977.9,22,976.8,22,5.3,4,26.8,21,31.1,43.1,30.2,18.3*,0.01G,999.9,1000
10010,99999,20200212,18.4,24,12.1,24,988.3,24,987.1,24,2.2,6,21.1,24,33.0,45.5,23.2*,14.5,0.06G,999.9,1000
10010,99999,20200213,21.8,23,15.6,23,999.5,23,998.3,23,3.8,5,18.4,23,25.3,38.5,22.8,20.5*,0.12G,999.9,1000
10010,99999,20200214,23.8,23,16.6,23,1003.6,23,1002.4,23,16.8,5,15.6,23,25.3,999.9,31.3*,18.9*,0.07G,999.9,0
10010,99999,20200215,33.8,22,32.1,22,982.6,22,981.5,22,2.1,4,20.9,22,35.4,46.6,36.5*,31.3*,0.00G,999.9,110000
10010,99999,20200216,35.6,24,30.6,24,971.2,24,970.1,24,2.5,6,26.4,24,35.0,55.9,37.4,33.3*,0.10G,999.9,0
10010,99999,20200217,30.7,24,23.5,24,979.9,24,978.8,24,6.9,6,30.6,24,41.6,57.1,35.8,28.2*,0.00G,999.9,1000
10010,99999,20200218,23.7,24,17.6,24,995.3,24,994.1,24,9.3,6,16.3,24,23.3,30.5,28.8*,17.4,0.00G,999.9,1000
10010,99999,20200219,24.8,24,16.6,24,996.8,24,995.6,24,16.1,6,4.7,24,9.7,12.8,25.7,22.6,0.02G,999.9,0
10010,99999,20200220,29.5,24,24.1,24,978.4,24,977.3,24,12.0,6,20.6,24,36.5,52.6,33.8*,22.5,0.00G,999.9,10000
10010,99999,20200221,26.7,24,19.8,24,970.9,24,969.7,24,6.7,6,33.2,24,43.5,55.2,28.4*,25.3*,0.00G,999.9,1000
10010,99999,20200222,25.1,23,16.1,23,974.6,23,973.4,23,5.6,5,22.1,23,33.0,41.2,25.7*,23.7,0.00G,999.9,1000
10010,99999,20200223,18.7,22,12.0,22,990.1,22,988.9,22,7.8,4,13.5,22,23.3,25.4,23.5*,15.4*,0.11G,999.9,1000
10010,99999,20200224,16.2,24,5.6,24,1000.1,24,998.9,24,7.6,6,9.5,24,13.6,21.4,17.4*,14.9,0.03G,999.9,1000
10010,99999,20200225,18.2,24,9.2,24,998.5,24,997.3,24,6.4,6,19.4,24,33.2,41.2,20.8,14.4,0.02G,999.9,0
10010,99999,20200226,18.5,24,10.3,24,1002.5,24,1001.3,24,5.4,6,21.2,24,28.4,37.1,21.9,16.7*,0.02G,999.9,1000
10010,99999,20200227,18.2,24,10.8,24,1003.3,24,1002.1,24,7.0,6,17.2,24,23.5,29.5,20.3,15.3,0.01G,999.9,1000
10010,99999,20200228,17.8,24,6.0,24,1007.3,24,1006.1,24,15.5,6,12.2,24,18.5,27.6,20.3*,16.2,0.00G,999.9,0
10010,99999,20200229,24.1,24,14.7,24,1006.5,24,1005.3,24,12.4,6,19.9,24,25.3,32.4,27.7*,16.5,0.00G,999.9,0
10010,99999,20200301,30.1,24,19.6,24,1005.5,24,1004.3,24,10.3,6,20.0,24,26.0,31.7,32.4,26.2,0.00G,999.9,1000
10010,99999,20200302,31.8,24,22.7,24,1010.4,24,1009.2,24,18.1,6,10.9,24,15.5,18.1,33.1,29.7,0.00E,999.9,0
10010,99999,20200303,33.8,24,27.1,24,1010.6,24,1009.4,24,10.5,6,15.6,24,22.1,31.3,35.1,31.6,0.00G,999.9,11000
10010,99999,20200304,34.4,23,32.9,23,994.8,23,993.6,23,3.0,5,8.2,23,19.4,23.1,36.5,33.3*,0.07G,999.9,110000
10010,99999,20200305,30.2,24,27.7,24,992.7,24,991.5,24,9.3,6,12.7,23,26.6,33.8,33.1*,26.6*,0.08G,999.9,0
10010,99999,20200306,23.1,23,19.6,23,996.9,23,995.7,23,4.5,5,24.2,23,26.8,38.1,26.2*,19.4,0.00G,999.9,100000
10010,99999,20200307,17.6,24,10.7,24,1002.3,24,1001.1,24,7.8,6,13.6,24,19.4,32.4,20.7,16.0,0.02G,999.9,10000
10010,99999,20200308,18.7,24,13.0,24,996.5,24,995.3,24,4.5,6,25.3,24,33.4,47.6,23.5*,15.1,0.01G,999.9,1000
10010,99999,20200309,15.4,24,9.0,24,1002.5,24,1001.3,24,6.7,6,22.5,24,33.0,46.0,23.4,12.2,0.02G,999.9,1000
10010,99999,20200310,20.3,24,12.5,24,1001.4,24,1000.2,24,15.0,6,8.1,24,13.6,19.0,25.2,13.1,0.00G,999.9,0
10010,99999,20200311,18.0,23,12.7,23,998.0,23,996.8,23,8.1,5,18.9,23,33.4,44.9,25.2,8.6,0.00G,999.9,0
10010,99999,20200312,8.9,24,1.5,24,1007.2,24,1006.0,24,2.0,6,18.6,24,22.1,36.3,11.7,6.6,0.03G,999.9,1000
10010,99999,20200313,12.0,23,2.1,23,1015.8,23,1014.6,23,4.7,5,10.6,23,18.6,37.9,13.8,8.6,0.03G,999.9,1000
10010,99999,20200314,15.0,24,6.3,24,1006.4,24,1005.2,24,12.0,6,11.1,24,15.5,24.9,16.3,10.4,0.01G,999.9,0
10010,99999,20200315,17.1,24,11.2,24,995.8,23,994.6,23,9.9,6,11.8,23,37.1,54.6,25.3*,13.1,0.20G,999.9,1000
